pid,tags_poi,poi_lon,poi_lat
3506894028,shop=florist,-318154.1086,4466454.37
3506894010,shop=alcohol,-317937.7605,4466454.967
3506894016,shop=massage,-318085.8055,4466463.073
3506894020,shop=beauty,-318109.0178,4466464.289
3506893992,shop=convenience,-318030.3952,4466392.48
3519076190,shop=bakery,-318292.404,4466404.773
3506893995,shop=greengrocer,-318025.6877,4466412.363
3562844206,shop=yes,-317844.2801,4466415.38
3562844205,shop=hairdresser,-317858.6095,4466416.175
3506893996,shop=erotic,-318024.7778,4466417.411
371015968,shop=supermarket,-317875.3279,4466418.365
3506893997,shop=hardware,-318023.7082,4466422.171
3506893993,shop=massage,-317949.0392,4466430.907
3506894013,shop=bakery,-317860.8597,4466437.452
3506894000,shop=convenience,-317996.2995,4466439.239
3506893999,shop=convenience,-318002.5329,4466439.631
4751803422,"name:en=Smart Air,shop=supermarket",-317881.2564,4466440.176
3551275565,shop=fashion,-317118.5317,4466364.746
3536230043,shop=fashion,-317135.6387,4466367.349
3562844219,shop=tea,-317630.7709,4466388.852
3536230006,shop=tailor,-317419.6121,4466402.986
3536081673,shop=tailor,-317283.795,4466306.123
3536230059,shop=yes,-317145.9169,4466314.411
3518560559,shop=video,-317144.4063,4466324.382
2459001950,shop=clothes,-317329.6898,4466325.326
3523642285,shop=yes,-317143.8175,4466328.71
3536230004,shop=golf_shop,-317427.0787,4466337.662
3551275564,shop=beauty,-317143.5529,4466338.14
3518560564,shop=convenience,-317143.2769,4466339.089
3564807601,shop=ice_cream,-317517.2471,4466341.979
3536230045,shop=beauty,-317140.3493,4466342.039
3504800788,shop=tailor,-317426.4966,4466343.049
3533339370,shop=erotic,-317175.5404,4466291.421
3536227771,shop=yes,-317181.2378,4466291.8
3536227769,shop=massage,-317170.1197,4466292.974
3523642288,shop=hairdresser,-317129.3019,4466294.735
3504800762,shop=hairdresser,-317351.2344,4466296.328
3504800764,shop=tattoo,-317368.1588,4466296.772
3504800763,shop=tailor,-317363.7978,4466298.384
3504800758,shop=convenience,-317410.4411,4466302.399
3504800773,shop=mobile_phone,-317254.6186,4466303.95
3504800772,shop=convenience,-317212.0708,4466303.992
3506893985,shop=dry_cleaning,-317942.9547,4466207.16
3533293879,shop=beauty,-318017.9708,4466209.18
3506893984,shop=convenience,-317943.1354,4466212.945
371024207,shop=supermarket,-318502.787,4466222.617
3533293888,shop=wine,-317956.3146,4466352.084
3533293887,shop=tea,-317988.1065,4466353.562
3506893990,shop=massage,-318012.5015,4466375.185
3518560543,shop=chocolate,-317075.601,4466152.07
2974966941,shop=books,-317072.1994,4466243.268
3540685013,shop=convenience,-317047.0965,4466280.665
3536230069,shop=yes,-317005.7613,4466329.753
820094091,shop=supermarket,-317074.5222,4466382.017
3540685018,shop=convenience,-316997.9957,4466398.117
3533339369,shop=electronics,-317137.4696,4466257.401
3536230060,shop=yes,-317094.3149,4466259.451
3536227768,shop=clothes,-317166.6233,4466262.352
3551277928,shop=clothes,-317189.4318,4466264.816
3536081685,shop=yes,-317114.1657,4466288.011
3536081682,shop=electronics,-317120.6496,4466288.25
3523642286,shop=convenience,-317147.6917,4466289.797
3533339373,shop=erotic,-317167.3568,4466290.627
3533339371,shop=tea,-317170.6025,4466290.752
3536081680,shop=tattoo,-317173.8408,4466290.865
3536227770,shop=tailor,-317172.2799,4466291.192
3533339372,shop=hardware,-317179.6694,4466291.394
3523113803,shop=tailor,-317298.475,4466183.33
2760017417,shop=electronics,-317138.5624,4466187.583
3523113805,shop=tailor,-317297.3121,4466196.018
3504800785,shop=convenience,-317295.8647,4466210.297
3504800776,shop=copyshop,-317319.0852,4466211.117
3562844228,shop=beauty,-317331.3378,4466212.441
3504800775,shop=massage,-317320.1243,4466221.476
4269472494,shop=clothes,-317170.1038,4466226.764
3492816984,shop=variety_store,-317535.9368,4466227.198
3504800786,shop=bicycle,-317291.2786,4466228.595
3518560580,shop=hardware,-317291.5085,4466238.101
3523113807,shop=tailor,-317291.6149,4466244.497
3540685056,shop=tobacco,-317767.0732,4466143.306
3574840877,shop=music,-318619.8837,4466144.685
3540685057,shop=yes,-317818.6616,4466147.138
3540685058,shop=yes,-317828.4565,4466148.827
3540685059,shop=hairdresser,-317835.5368,4466149.086
3581001990,shop=clothes,-317706.3114,4466150.239
3536081792,shop=massage,-318630.5216,4466151.084
3523198599,shop=kiosk,-318545.9714,4466155.593
3074334861,"shop=massage,name:en=Bodhi Massage",-317813.2502,4466157.261
3536081748,shop=clothes,-317965.0851,4466162.992
3536081749,shop=supermarket,-318003.5557,4466166.926
3581001991,shop=convenience,-317720.4909,4466173.515
3536081750,shop=yes,-318073.3461,4466180.802
3581001992,"shop=hairdresser,name:en=Meifa Gongzuoshi",-317719.6752,4466181.061
598799716,shop=supermarket,-317437.1998,4466122.235
4397238389,"shop=sports,name:en=Puma",-317135.9131,4466122.395
4345733290,shop=clothes,-317159.7588,4466125.612
3581001989,shop=yes,-317665.6339,4466132.24
3523642539,shop=tattoo,-317302.9193,4466133.129
3523642538,shop=greengrocer,-317298.7968,4466138.471
4400519089,shop=clothes,-317123.1612,4466140.778
3492816985,shop=Mystery_Room,-317568.1777,4466145.679
3533339347,shop=clothes,-317205.7663,4466150.524
4397176492,"shop=sports,name:en=Nike",-317089.4621,4466158.003
